Insecticides	LC50	
m1	6.8932	
m2	6.8931	
m3	8.4292	
m4	8.9348	
m5	11.7912	
m6	7.6263	
m7	8.2332	
m8	5.6637	
m9	6.8332	
m10	8.2341	
m11	7.7172	
m12	8.5746	
m13	9.2665	
m14	8.7261	
m15	8.2565	
m16	9.7132	
m17	10.9675	
m18	11.3	
m19	10.6	
m20	8.67	
m21	7.85	
m22	9.42	
m23	13.3	
m24	7.13	
m25	8.41	
m26	7.16	
m27	6.22	
m28	7.34	
m29	3.13	
m30	10.7	
m31	9.96	
m32	12.1	
m33	9.06	
m34	10.2	
m35	14.6	
m36	13.4	
m37	10.5	
m38	8.53	
m39	7.89	
m40	4.82	
m41	8.38	
m42	0.114	
m43	0.204	
m44	0.275	
m45	4.728	
m46	0.517	
m47	1.808	
m48	0.505	
m49	1.512	
m50	0.272	
m51	0.265	
m52	0.101  	
m53	0.077  	
