Insecticides	LC50 (?g/mL) 	
m1	6.8932	
m2	6.8931	
m3	8.4292	
m4	8.9348	
m5	11.7912	
m6	7.6263	
m7	8.2332	
m8	5.6637	
m9	6.8332	
m10	8.2341	
m11	7.7172	
m12	8.5746	
m13	9.2665	
m14	8.7261	
m15	8.2565	
m16	9.7132	
m17	10.9675	
m18	11.3	
m19	10.6	
m20	8.67	
m21	7.85	
m22	9.42	
m23	13.3	
m24	7.13	
m25	8.41	
m26	7.16	
m27	6.22	
m28	7.34	
m29	3.13	
m30	10.7	
m31	9.96	
m32	12.1	
m33	9.06	
m34	10.2	
m35	14.6	
m36	13.4	
m37	10.5	
m38	8.53	
m39	7.89	
m40	4.82	
m41	8.38	
m42	114	
m43	204	
m44	275	
m45	4728	
m46	517	
m47	1808	
m48	505	
m49	1512	
m50	272	
m51	265	
m52	101	
m53	77	
m54	501	
m55	1021	
m56	1363	
m57	3169	
m58	4	
m59	3843	
m60	6942	
m61	2174	
m62	303	
m63	1134	
m64	1131	
m65	4340	
m66	1532	
m67	1910	
m68	58	
m69	1621	
m70	1490	
m71	1318	
m72	6	
m73	22	
m74	2667	
m75	2	
m76	26	
m77	382	
m78	114	
m79	5	
m80	9	
m81	8	
m82	3	
m83	230	
m84	1430	
m85	2350	
m86	250	
m87	41540	
m88	1760	
m89	710	
m90	4780	
m91	2960	
m92	140	
m93	2380	
m94	11590	
m95	4540	
m96	10	
m97	7890	
m98	220	
